,open,high,low,close,volume
2022-04-13 04:00:00-04:00,341.06,342.81,341.06,342.17,0
2022-04-13 05:00:00-04:00,342.14,342.88,341.99,342.3,0
2022-04-13 06:00:00-04:00,342.26,342.29,340.8,340.95,0
2022-04-13 07:00:00-04:00,340.95,342.54,340.92,342.21,0
2022-04-13 08:00:00-04:00,342.21,343.27,339.76,340.27,0
2022-04-13 09:00:00-04:00,340.12,340.73,338.83,339.75,0
2022-04-13 09:30:00-04:00,339.79998779296875,343.3500061035156,339.05999755859375,342.75,16384064
2022-04-13 10:30:00-04:00,342.7699890136719,345.20001220703125,342.0199890136719,344.79998779296875,8526607
2022-04-13 11:30:00-04:00,344.80999755859375,345.489990234375,344.05999755859375,344.9570007324219,5277238
2022-04-13 12:30:00-04:00,345.0,345.989990234375,344.8800048828125,345.4599914550781,6092590
2022-04-13 13:30:00-04:00,345.4599914550781,345.54998779296875,344.17999267578125,345.25,7373037
2022-04-13 14:30:00-04:00,345.25,346.92999267578125,345.1000061035156,346.8900146484375,6216930
2022-04-13 15:30:00-04:00,346.8949890136719,347.42999267578125,346.1499938964844,346.3699951171875,8122371
2022-04-13 16:00:00-04:00,346.36,346.6953,346.05,346.1,0
2022-04-13 17:00:00-04:00,346.13,353.5894,340.64026,346.29,0
2022-04-13 18:00:00-04:00,346.23,346.69,346.12,346.68,0
2022-04-13 19:00:00-04:00,346.65,346.7,346.15,346.15,0
2022-04-14 04:00:00-04:00,347.13,347.37,346.56,346.75,0
2022-04-14 05:00:00-04:00,346.69,346.92,346.43,346.61,0
2022-04-14 06:00:00-04:00,346.64,347.01,346.21,346.49,0
2022-04-14 07:00:00-04:00,346.55,346.89,345.92,346.285,0
2022-04-14 08:00:00-04:00,346.26,348.24,345.63,346.36,0
2022-04-14 09:00:00-04:00,346.36,346.69,345.3,345.62,0
2022-04-14 09:30:00-04:00,346.44000244140625,346.9700012207031,341.82000732421875,342.5299987792969,19907233
2022-04-14 10:30:00-04:00,342.5400085449219,343.0799865722656,341.3800048828125,342.7900085449219,9240533
